"id","mz","rtime","JO_F_S_A_1A","JO_F_S_A_1B","JO_F_S_A_1C","JO_L_MB_A_1Q","JO_L_MB_A_1Qx","JO_F_S_A_2A","JO_F_S_A_2B","JO_F_S_A_2C","JO_L_MB_A_2Q","JO_F_S_A_3A","JO_F_S_A_3B","JO_F_S_A_3C","JO_L_MB_A_3Q","JO_F_S_A_4A","JO_F_S_A_4B","JO_F_Bk_A_4bl","JO_F_S_A_4C","JO_L_MB_A_4Q","JO_F_S_A_5A","JO_F_Bk_A_5a.bl","JO_F_S_A_5B","JO_F_Bk_A_5b.bl","JO_F_S_A_5C","JO_F_Bk_A_5c.bl","JO_F_Bk_A_5d.bl","JO_L_MB_A_5Q","JO_L_MB_A_6Q","JO_L_SB_UP_ACN2_","JO_L_SB_UP_ACN2_x","JO_L_SB_UP_ACN2_y","JO_L_SB_UP_ACN2_z","JO_F_Bk_P_D_b","JO_F_Bk_P_D_c","JO_F_Bk_P_G_d","JO_F_Bk_P_G_e","JO_F_Bk_P_G_f","JO_F_S_P_D_1b","JO_F_S_P_D_1c","JO_F_S_P_G_1d","JO_F_S_P_G_1e","JO_F_S_P_G_1f","JO_L_MB_P_D_1q","JO_L_MB_P_D_1qx","JO_L_MB_P_D_1qy","JO_F_S_P_D_2b","JO_F_S_P_D_2c","JO_F_S_P_G_2d","JO_F_S_P_G_2e","JO_F_S_P_G_2f","JO_L_MB_P_D_2q","JO_F_S_P_D_3a","JO_F_S_P_D_3b","JO_F_S_P_D_3c","JO_F_S_P_G_3d","JO_F_S_P_G_3e","JO_F_S_P_G_3f","JO_L_MB_P_D_3q","JO_F_S_P_D_4a","JO_F_S_P_D_4b","JO_F_S_P_D_4c","JO_F_S_P_G_4d","JO_F_S_P_G_4e","JO_F_S_P_G_4f","JO_L_MB_P_D_4q","JO_F_S_P_D_5a","JO_F_S_P_D_5b","JO_F_S_P_D_5c","JO_F_S_P_G_5d","JO_F_S_P_G_5e","JO_F_S_P_G_5f","JO_L_MB_P_D_5q","JO_L_MB_P_D_6q","JO_L_MB_P_D_7q","JO_L_MB_P_D_8q","JO_L_SB_SP_S2_","JO_L_SB_SP_S2_x","JO_L_SB_SP_S2_y","JO_L_SB_SP_S2_z","representative_intensity","parent_masstrack_id","isotope","modification","ion_relation","interim_id","neutral_formula_mass"
"18",101.00877,20.094,22812,20236,20064,27008,0,21339,21760,19651,27992,18496,21061,22921,27371,20376,19393,24013,0,29969,0,22583,0,21314,0,21366,21333,27449,23146,26641,0,4507,5753,0,0,0,0,0,27414,33600,4032,4163,45832,0,3921,39157,38849,30880,33581,4188,5029,0,5166,36307,34046,3933,31908,5587,0,55963,4400,4222,4546,35396,4391,0,33298,29614,4037,36432,3792,37519,0,0,0,0,25009,0,5415,4942,15578.5,"101.00839","M0","M+H+","M0,M+H+","kp1_100.0014",100.00144403323
"1172",142.03522,20.094,23768,23002,20083,27993,0,19128,20513,20239,33767,20145,21209,19073,28973,17679,18984,23612,0,29219,0,29808,0,20990,0,20351,22965,28218,28926,31068,0,35979,6187,0,0,0,0,0,31352,31655,4368,4283,41215,0,5202,5237,30497,4826,41966,4219,31208,0,5526,36473,28872,34231,4916,6225,0,74272,30971,4034,5067,5125,4156,0,31613,30406,28240,4736,4490,5147,0,0,0,0,35849,0,6348,5527,15642.7051282051,"142.03461","M0","ACN","M0,ACN","kp1_100.0014",100.00144403323
"17",101.00839,20.197,22812,20236,20064,6898,0,21339,21760,19651,5974,18496,21061,22921,6420,20376,19393,5555,0,6200,0,6152,0,6242,0,5509,21333,6355,6036,6090,0,39684,43563,0,0,0,0,0,27414,33600,31211,33976,45832,0,32206,39157,38849,30880,33581,37465,35174,0,36318,36307,34046,34996,31908,33895,0,55963,32184,41144,37488,35396,27202,0,33298,29614,36583,36432,42674,37519,0,0,0,0,6491,0,37384,39257,19943.1282051282,"101.00839","M0","M+H+","M0,M+H+","kp2_100.0009",100.00094903323
"1171",142.03461,20.198,23768,23002,20083,27993,0,19128,20513,20239,8471,5999,21209,19073,7416,5820,18984,6333,0,7464,0,6993,0,5406,0,20351,22965,6998,7152,8124,0,35979,31884,0,0,0,0,0,31352,31655,34563,31790,41215,0,40240,43350,30497,33571,41966,42321,31208,0,38067,36473,28872,34231,36368,38318,0,74272,30971,25847,42203,34101,29659,0,31613,30406,28240,34533,36030,35837,0,0,0,0,9135,0,34537,35087,19998.3974358974,"142.03461","M0","ACN","M0,ACN","kp2_100.0009",100.00094903323
"25",101.0593,19.774,67233,69761,56249,92036,0,31026,45015,86557,83414,78994,86014,81624,58365,78827,79980,76210,0,88180,0,32329,0,68100,0,44728,47681,59121,84999,64070,0,689,3428,0,0,0,0,0,356,0,376,5170,4276,0,1491,1829,0,0,238,1524,3370,0,127,299,0,5881,5631,4086,0,0,0,0,1542,1679,1953,0,0,0,361,1662,1745,4386,0,0,0,0,32875,0,1088,6713,21196,"101.0593","M0","M+H+","M0,M+H+","kp3_100.0522",100.052248533231
"508",118.0863,20.047,75782,77014,83885,80080,0,86326,83656,86755,73437,86192,77913,81356,79159,82622,77880,84174,2980,83315,631,78728,0,71462,352,79296,83272,80798,80998,98815,0,117865,120108,0,0,0,0,0,123462,120904,114182,114080,122963,0,118574,121984,120542,124606,123088,116228,119051,0,114478,121494,111052,118776,120858,115911,0,106135,122660,119488,120382,120679,122936,0,124557,123683,117961,124491,117309,118202,0,0,301,0,85037,0,113069,119002,77089.4358974359,"118.0863","M0","NH3","M0,NH3","kp3_100.0522",100.052248533231
"509",118.0863,7.54,28451,8772,7819,47425,316,8416,9781,7368,102964,9099,23611,7926,60721,7958,7892,92588,26903,60789,31955,67460,52395,66576,39949,77308,65814,98276,51339,5161,0,0,198550,0,0,0,0,300,22316,76926,81710,22812,148380,1355,91136,154904,58164,20469,19080,20955,19522,0,18471,17697,17166,18595,32777,20576,316,18114,44709,17272,18855,62373,19400,288,46555,53218,45608,75872,18801,17601,0,0,0,0,63293,366,75545,138988,36590.6025641026,"118.0863","M0","M+H+","M0,M+H+","kp4_100.0523",100.05230353323
"27",101.05941,7.182,42388,17538,24889,16690,0,40101,31070,69843,12220,28097,19353,20368,12681,48694,58844,14981,0,17373,0,4057,0,10323,0,2864,24434,21295,11492,22411,0,0,11075,0,0,0,0,0,17991,17924,12504,12191,9212,0,11792,6239,60901,13489,19027,8284,20150,0,16680,66218,47672,20734,6487,6533,0,92592,64146,42529,9983,10661,24567,0,35758,66850,28906,8226,31507,29429,0,0,0,0,6146,0,9049,10242,18303.8461538462,"101.05941","M0","NH3","M0,NH3","kp4_100.0523",100.05230353323
"630",123.04144,9.835,90626,74910,111650,6701,0,86225,51707,127940,17920,60819,53712,91827,12472,106342,185384,25322,0,13477,0,15182,0,14406,0,17234,12936,25396,13209,25125,0,0,8235,0,0,0,0,0,32084,42470,15926,9293,10751,0,13148,11350,93924,61063,49645,42567,55861,0,76337,143724,151590,70547,43671,36023,0,199289,193869,177715,56727,66480,57177,0,175795,248130,174827,89338,113818,109949,0,0,0,0,6181,0,6774,6663,49890.5512820513,"123.04144","M0","M+H+","M0,M+H+","kp5_100.0524",100.05236353323
"30",101.05984,11.69,51388,52149,58080,19294,0,62057,32642,61081,36516,56187,31367,66735,4608,49634,50239,13465,0,9788,0,27590,0,12476,0,32537,34239,4973,18556,29034,0,0,2340,0,0,0,0,0,15471,20387,14261,7513,8357,0,10163,2885,27488,17063,13759,6102,15603,0,15756,39778,36737,18687,16506,6801,0,35602,36065,29268,10732,8857,11618,0,13167,41291,16225,7673,18218,13362,0,0,0,0,32142,0,4072,3728,17850.1538461538,"101.05984","M0","Na/H","M0,Na/H","kp5_100.0524",100.05236353323
"33",101.0779,13.568,0,0,0,0,6884,0,0,0,0,0,0,0,0,0,0,0,30471,0,25907,0,28534,0,30001,0,0,0,0,0,2005,0,0,5904,5130,3899,1979,3244,0,0,0,0,0,6081,307,0,0,0,0,0,0,4949,286,0,0,0,0,342,3931,0,0,0,0,0,0,10249,0,0,0,0,308,0,8022,9618,6129,6772,0,1681,0,0,2597.85897435897,"101.07788","M0","M+H+","M0,M+H+","kp6_100.0709",100.07086353323
"510",118.10493,13.089,0,0,0,0,109426,0,0,0,0,0,0,0,0,0,0,0,20300,0,76544,0,91060,0,93439,0,0,0,0,0,148825,0,0,62598,55833,64476,95433,91566,0,0,0,0,0,58460,0,0,0,0,0,0,0,91007,0,0,0,0,0,0,109484,0,0,0,0,0,0,101274,0,0,0,0,0,0,99894,91656,100892,38834,0,73185,0,0,21463.9230769231,"118.10493","M0","NH3","M0,NH3","kp6_100.0709",100.07086353323
"730",125.05403,13.541,180151,133597,177925,25183,1494,180887,100700,252509,106460,190032,165245,175169,65324,204576,124871,245039,1351,261002,2816,141753,4190,73313,454,224280,47756,298656,155863,29466,596,0,7445,2169,1316,1973,2976,1013,122617,146721,185419,67471,79387,1543,216011,208882,153463,84075,180493,138781,167400,793,79338,155409,168643,175616,98802,94034,1288,130507,158547,122200,91464,117379,87454,1037,117486,168866,120176,137221,149726,174602,1425,1303,1133,393,311235,3032,273867,279512,109773.08974359,"125.05403","M0","M+H+","M0,M+H+","kp7_102.0649",102.06493853323
"76",103.0724,14.908,0,0,0,0,10181,0,0,0,0,0,0,0,0,0,0,0,67156,0,15552,0,17980,0,21092,0,0,0,0,0,4420,0,0,24504,16139,9999,9310,16528,0,0,0,0,0,15789,0,0,0,0,0,0,0,21187,0,0,0,0,0,0,8176,0,0,0,0,0,0,15906,0,0,0,0,0,0,17459,13437,13105,12119,0,4572,0,0,4289.88461538462,"103.0724","M0","Na/H","M0,Na/H","kp7_102.0649",102.06493853323
"1204",144.10207,0.747,6335,3740,5135,3044,317,3846,3765,6232,2377,3339,2008,4051,2489,3050,3068,4047,1260,1394,373,2724,1030,2710,0,3127,2411,3354,3004,0,0,0,762,0,332,0,307,820,10805,13843,5033,1679,2764,334,1690,1257,11857,8711,6268,5071,4892,0,6022,15442,15269,6021,4600,5444,0,17247,15484,12439,5742,7576,5431,701,7851,14917,8811,6864,6686,7456,623,330,306,335,2933,0,323,0,4224.46153846154,"144.10207","M0","M+H+","M0,M+H+","kp8_104.3926",104.392613866563
"777",127.07498,0.748,23286,19689,18817,29346,0,20990,21247,19327,26082,22062,23327,20639,34867,22083,22605,24605,12651,24278,0,19656,0,22263,0,23088,21915,24235,25126,58113,0,0,11801,0,0,0,0,0,12642,15345,9904,10054,13217,0,12448,11500,16913,11806,9939,9832,9147,0,17813,14921,12978,10005,9825,11453,0,14736,12682,13499,9662,7544,9814,322,15207,13435,16006,8162,8550,8909,0,0,0,0,41930,0,24507,24978,13356.1923076923,"127.07498","M0","NH3","M0,NH3","kp8_104.3926",104.392613866563
"78",103.07572,0.753,7648,6399,8861,0,870,3626,2546,5927,0,350,0,1307,0,2015,421,345,26595,0,830,1397,386,0,369,1065,289,0,0,0,385,0,0,1085,694,1586,1350,1326,8564,8523,1312,0,0,1334,0,0,14570,8711,3005,1733,2903,0,8642,17579,24648,3442,1430,1224,1734,20141,17741,16018,794,1804,3011,1885,11526,20695,15920,2378,4775,3903,1327,1487,1503,1439,0,816,0,0,4028.0641025641,"103.07572","M0","ACN","M0,ACN","kp8_104.3926",104.392613866563
"79",103.95604,0.751,10301,9418,10671,28595,0,10572,10144,8658,22128,8958,8164,6257,23695,6249,8399,15793,0,16440,0,12700,0,14330,0,10309,12000,15231,18081,24240,0,0,11199,0,0,0,0,0,10186,14467,8058,10137,11639,0,9282,7870,10837,10327,16359,9115,10251,0,9312,8621,9275,11428,9131,9779,0,12586,21675,7430,8199,12411,7941,0,11608,7646,9845,8830,37538,8498,0,0,0,0,35125,0,14478,12340,9291.74358974359,"103.95604","M0","ACN","M0,ACN","kp9_102.9487",102.94865903323
"1220",144.98238,0.759,7424,5335,6488,17428,0,5902,6534,5068,13347,5386,4500,3207,13830,4437,4225,9833,0,9028,0,8871,0,8233,0,6921,7253,9852,10636,17257,0,0,34073,0,0,0,0,0,26635,35793,21323,26655,30023,0,24231,22741,23836,23070,39999,24992,27830,0,24226,21505,17872,28724,25232,26393,0,27693,46256,17944,22280,34976,22994,0,24880,17122,24606,25265,82732,22369,0,0,0,0,22240,0,36037,38688,14900.3846153846,"144.98238","M0","M+H+","M0,M+H+","kp9_102.9487",102.94865903323
"135",105.06976,18.118,78258,84851,97580,245638,1357,211605,296619,233444,271457,220847,252364,243024,256803,225175,224468,203433,5071,261062,2401,221934,1631,264010,715,238151,271205,257458,298447,204100,489,6993,42549,0,1069,1688,930,862,3486,1899,9220,11223,11090,1217,13974,31174,2636,1945,8525,19190,13906,678,5632,5077,1503,10248,34451,26608,701,3339,2271,1633,6250,9448,10912,817,2238,2591,2149,34725,13971,82075,1335,1026,1194,629,215721,1347,13569,46073,75581.8461538462,"105.0696","M0","M+H+","M0,M+H+","kp10_104.0627",104.06268853323
"625",122.09672,19.356,339874,334248,247923,172670,0,316045,179056,299220,344135,620341,381627,419085,730058,474582,394485,397963,324,65789,320,340571,346,864302,0,539781,134981,796698,113658,289826,0,6141,9838,0,0,0,0,0,20151,8406,9445,8767,9560,0,10916,10687,13581,13934,4176,16317,4643,0,20007,7969,6417,17113,9232,13264,0,7173,9302,8892,11155,17516,15743,0,8022,7667,1620,18095,13873,15658,0,0,0,0,127180,0,7634,14119,119257.961538462,"122.09672","M0","NH3","M0,NH3","kp10_104.0627",104.06268853323
"156",105.95412,0.742,4209,3868,4691,13449,0,4863,4669,3864,10892,3154,3119,3019,10338,3318,2868,7853,0,8020,0,5589,0,6225,0,5786,5790,7218,8274,11100,0,0,4052,0,0,0,0,0,4606,6553,2771,3732,4545,0,4023,3374,4981,4020,7526,4047,3880,0,4677,4031,3930,4893,3557,3506,0,5083,9386,3519,2538,5734,3477,0,4171,2920,4930,4157,13959,3439,0,0,0,0,14661,0,5906,5466,4028.53846153846,"105.95412","M0","M+H+","M0,M+H+","kp11_104.9468",104.94675903323
"1245",146.9805,0.761,2563,2619,2100,8459,0,2297,2339,978,7012,2420,1390,753,6782,958,1400,3841,0,3704,0,2932,0,3135,0,1884,2753,3431,4976,5975,0,0,15109,0,0,0,0,0,12158,16774,8212,11637,14455,0,9909,10412,12007,10433,16719,10036,12355,0,12247,9281,8161,12220,11580,10973,0,12558,20291,7969,9402,14856,10588,0,11329,6818,10924,10137,38405,9648,0,0,0,0,10753,0,17894,18537,6531.89743589744,"146.9805","M0","ACN","M0,ACN","kp11_104.9468",104.94675903323
"182",107.08541,0.753,34924,35272,33122,56926,0,33355,39861,32577,50120,36230,38595,35053,44187,31750,33840,29521,3964,40784,1764,33796,2329,39052,2767,31544,36698,41272,45623,137058,0,0,14646,1287,316,0,0,1500,11805,10710,11004,9825,12500,0,9998,14076,10518,10569,12403,13372,14221,0,15560,10611,10464,12696,9508,12370,0,12718,11039,10231,12930,12826,11832,0,12244,10279,12741,11280,11455,14458,0,0,409,1017,50792,0,10107,14682,18371.5769230769,"107.08541","M0","M+H+","M0,M+H+","kp12_106.0784",106.07841903323
"1297",148.11253,0.754,19439,18435,15562,25142,1558,20862,20904,19846,24241,18886,20588,20459,23571,17509,19924,17014,3658,21378,9381,17034,8192,21984,14258,16677,19395,23350,22556,25221,602,0,3696,2925,2173,1507,3119,2036,3955,4315,4785,2958,3787,2186,4691,3477,4745,3755,4512,5091,4532,0,3911,4012,5242,4449,4489,3823,1246,4218,8007,6825,30121,8973,38673,1117,38807,5421,4229,3270,3221,3722,1555,2167,1607,1405,25580,1186,3622,3146,10255.3205128205,"148.11253","M0","ACN","M0,ACN","kp12_106.0784",106.07841903323
"208",108.08895,12.62,7789,14294,8587,3765,0,11730,9155,11876,5116,10970,5533,15255,3277,11450,7600,8125,0,10501,16,9228,31,9469,25,11253,7077,11714,7554,4564,0,0,0,0,0,347,0,0,3075,23873,11892,7535,4116,0,17470,20552,14700,17946,14496,15301,25277,0,5726,16459,14807,19010,3824,6557,0,9865,17086,21900,4542,5534,14341,0,13199,14096,19227,3144,5403,17175,0,0,0,0,2214,0,286,0,7652.9358974359,"108.08862","M0","M+H+","M0,M+H+","kp13_107.0816",107.08158853323
"760",125.11533,12.619,0,0,0,0,13100,0,0,0,0,0,0,0,0,0,0,0,194297,0,41578,0,47659,0,34590,0,0,0,0,0,4446,0,1037,50528,103098,35831,31170,107753,0,0,0,0,0,86819,0,0,0,0,0,0,0,0,0,0,0,0,1043,0,27694,0,0,0,0,0,0,81794,0,0,0,0,705,0,76368,115812,25489,53754,0,4340,1147,520,14622.7179487179,"125.11509","M0","NH3","M0,NH3","kp13_107.0816",107.08158853323
"757",125.11509,12.472,0,0,0,0,7099,0,0,0,0,0,0,0,0,0,0,0,51452,0,30945,0,30315,0,19214,0,0,0,0,0,4420,0,1438,37573,76105,20267,20151,82926,0,0,0,0,0,75813,0,0,0,0,0,0,0,0,471,0,0,0,0,0,16734,0,0,0,492,0,0,63348,0,0,0,0,0,0,59025,90185,23623,33690,0,1151,1289,0,9586.23076923077,"125.11509","M0","NH3","M0,NH3","kp14_107.0813",107.08130353323
"207",108.08862,12.468,6115,11628,5431,4303,0,9565,7148,849,6248,10151,3303,13760,5095,13027,7363,8579,2863,8582,6827,10275,7196,5989,8997,10128,9130,9418,7601,6347,0,0,905,0,0,0,0,0,2538,13987,6688,6265,2281,0,16405,15683,10284,11511,10151,10137,16006,0,3797,11584,9751,11626,2122,4681,0,2298,10386,14628,3028,3653,8522,0,8649,5090,10549,1731,65,10636,0,0,0,0,5643,0,286,0,5865.17948717949,"108.08862","M0","M+H+","M0,M+H+","kp14_107.0813",107.08130353323
"232",109.06469,0.749,79120,81758,74108,121033,0,77539,89723,73250,99721,78703,87283,78452,99780,77287,83081,73756,469,90355,0,75063,0,85170,0,80365,83321,94030,99680,302695,0,0,37856,0,0,0,0,0,33443,31396,25767,28052,30819,0,29532,29709,30559,31386,26394,26648,23352,0,33505,32359,28584,26289,22969,28294,0,25375,27432,31362,24543,24606,22976,0,30202,31970,29985,20760,19733,25053,0,0,0,0,107434,0,34229,36106,41466.9358974359,"109.06469","M0","M+H+","M0,M+H+","kp15_108.0576",108.05760353323
"769",126.09162,0.753,20659,21526,19168,27208,300,19935,21014,19803,22667,19163,20102,17980,21445,19022,16725,18374,3052,21852,0,21114,0,19460,0,15273,19017,23349,21331,56968,0,0,326,0,0,0,334,0,3043,3171,9468,2360,2656,0,2891,1765,4928,3825,9461,10666,11937,0,3253,6512,8324,7639,6369,8850,0,8206,8507,6769,13050,11856,7829,0,9236,7960,5203,13572,13509,14583,0,0,416,0,21292,0,0,751,9705.4358974359,"126.09162","M0","NH3","M0,NH3","kp15_108.0576",108.05760353323
"768",126.09159,4.679,47488,31000,42629,50212,0,41007,44419,26920,31203,32415,38304,28711,44310,40235,41113,41983,1431,51767,0,40886,0,43150,0,43575,34613,47451,36110,45218,0,0,0,0,0,0,0,0,809,667,0,0,0,0,0,0,278,335,0,0,300,0,321,3979,3930,0,294,0,0,2451,3981,972,0,0,0,0,735,2387,1095,0,0,294,0,0,0,0,42118,0,0,0,12706.358974359,"126.09159","M0","NH3","M0,NH3","kp16_108.0573",108.057337199897
"234",109.06471,4.714,220131,197783,71066,220314,0,103625,146223,130681,83000,85070,142284,114982,199397,113473,215759,94054,0,123827,0,161245,0,77470,0,78033,69849,215605,132264,134151,0,0,22930,0,0,0,0,0,20444,71047,75282,53289,26995,0,28097,29533,10442,78151,19541,62019,75488,0,20444,74414,16301,48468,23924,77790,0,33409,26286,23375,18841,19520,64218,0,20099,110273,90710,64651,59297,64954,0,0,0,0,156595,0,18212,48612,61332.5256410256,"109.06471","M0","M+H+","M0,M+H+","kp16_108.0573",108.057337199897
"1427",150.09064,5.784,17749,14927,20834,3681,0,8077,5703,15105,4386,2509,6840,9665,3049,10557,13748,2548,7483,2933,0,2957,318,3754,0,5192,4093,6374,3731,3490,0,0,0,0,0,0,0,0,34947,38661,5213,916,1459,0,320,1531,30176,27842,9756,1854,6802,0,13863,58414,68423,4380,3254,0,0,78490,65281,53689,623,383,625,0,21795,68381,25100,325,8307,3481,0,0,0,0,4716,0,0,0,10496.2820512821,"150.09064","M0","ACN","M0,ACN","kp16_108.0573",108.057337199897
"274",109.10172,0.754,87977,88963,85614,135149,0,85335,93103,76818,114954,78376,88781,81212,108477,74928,83627,70953,46177,96558,0,79552,932,94313,360,76036,91193,96193,107271,250795,1707,0,30707,1300,381,1864,922,2410,28323,29183,22019,24760,26561,0,25191,28857,32888,29801,24437,26415,21284,0,29981,27605,28381,22910,24710,25154,0,27968,26243,29301,25290,23487,24231,0,27494,25111,29597,23245,23071,23332,0,670,671,3845,114241,757,31601,29934,42326.7564102564,"109.10172","M0","M+H+","M0,M+H+","kp17_108.0946",108.09455403323
"1432",150.12849,0.749,5124,6617,10162,7746,557,11682,8799,16659,4545,13088,9997,13953,3408,8686,6984,20705,9132,7252,1157,13298,1232,7420,4382,15986,11975,14756,5437,6943,1314,0,300,326,755,400,1349,679,3625,4444,2572,1334,3088,588,4582,5069,2718,1457,2307,2872,2503,0,1019,2053,4174,2212,2100,3242,2059,3980,7928,7137,9041,8431,6807,2091,10440,5208,3751,3143,3103,5942,578,5299,1011,1843,4138,721,298,952,5111.08974358974,"150.12849","M0","ACN","M0,ACN","kp17_108.0946",108.09455403323
"296",110.10408,9.65,36100,28760,34293,13405,0,25055,14645,34746,11686,21174,14431,29447,15244,27766,30117,17876,0,4507,0,4285,0,6869,0,20333,8638,8468,14732,34394,0,0,388,0,0,0,0,0,22880,23940,19577,9535,10707,0,9122,5288,31830,24079,20356,13454,21449,0,17328,34860,35668,15034,12557,15669,0,35778,35568,26693,7296,17703,14140,0,19106,34639,20571,16367,16026,14277,0,0,0,0,9210,0,2849,2148,13757.2179487179,"110.10408","M0","M+H+","M0,M+H+","kp18_109.0969",109.09690853323
"788",127.13084,10.578,0,0,0,0,780,0,0,0,0,0,0,0,0,0,0,0,166877,0,2194,0,1355,0,1190,0,0,0,0,0,0,0,0,1509,928,1480,2306,2337,0,0,0,0,0,2692,0,0,317,0,0,0,0,0,0,0,0,0,0,0,7499,0,0,0,0,0,0,4407,0,0,0,0,0,0,2711,4784,2215,1915,0,0,0,0,2660.20512820513,"127.13084","M0","NH3","M0,NH3","kp18_109.0969",109.09690853323
"1499",152.07063,20.038,40337,41485,47030,37025,0,39561,43122,41357,39440,36736,36273,36066,39430,35793,34268,45436,0,34192,0,30829,0,38751,0,34362,37527,39199,39693,35499,0,3348,3060,0,0,0,0,0,2703,3084,1873,3066,3076,0,2868,2259,3042,3414,2056,2773,2656,0,3284,2606,2779,2802,2509,2424,0,3391,2499,2644,2596,2578,2549,0,2952,2563,2749,2513,2324,3081,0,0,0,0,38039,0,2759,2387,13009.1923076923,"152.07063","M0","M+H+","M0,M+H+","kp19_110.0366",110.036609211017
"307",111.04369,19.718,83147,90571,72979,115145,0,94701,73713,58972,109319,98448,106712,103171,68475,97310,103500,92749,0,86665,0,112936,0,89377,0,82718,88657,56498,83205,56446,0,3280,3455,0,0,0,0,0,0,0,617,3983,3845,0,2562,4536,323,0,2742,6945,6991,0,2806,312,0,2856,7795,5587,0,0,0,0,5715,4603,7530,0,0,0,0,3195,9471,7634,0,0,0,0,100854,297,1069,3221,28559.4615384615,"111.04369","M0","ACN","M0,ACN","kp19_110.0366",110.036609211017
"991",135.08034,0.753,21988,22291,20803,38559,6078,23826,25131,21681,30525,23421,24004,20993,28414,20639,23249,20574,1516,26020,1882,23748,6494,24914,4712,20078,23544,26481,28918,93794,0,0,7969,1143,0,0,1071,1485,6798,6776,6486,5976,6874,3030,6553,6479,6752,7045,6953,7203,7531,0,7111,6856,7164,7121,21101,7357,0,7242,6330,6619,6208,6304,6715,6578,7920,6214,6469,5075,6148,5778,4121,19455,2816,2900,31934,0,7357,6763,12385.3461538462,"135.08034","M0","M+H+","M0,M+H+","kp20_134.0732",134.07319353323
"1506",152.10715,0.752,11449,10793,9506,13677,0,9384,10786,10459,13953,10680,9664,10011,14634,10605,10172,11646,4429,16112,0,12376,0,13189,0,13754,11470,16415,12685,16257,0,0,3411,0,0,0,0,0,3995,4546,4771,2600,3256,0,16539,14642,3945,3505,5937,5759,5134,0,2821,3503,4407,5253,3353,2977,0,4498,4223,4681,5952,4849,3842,0,5153,4860,4110,5555,4534,5485,0,0,0,0,13931,0,3012,2896,5923.60256410256,"152.10715","M0","NH3","M0,NH3","kp20_134.0732",134.07319353323
"330",111.08109,7.846,66042,111187,162220,184773,0,64206,194391,151874,66756,180817,85299,221016,146133,139683,250616,64241,0,81300,0,98405,0,100227,0,121660,194974,79013,139720,177931,0,0,39150,0,0,0,0,0,32135,67039,29808,18594,33533,0,9694,20372,72222,42318,44779,60397,48334,0,9823,118952,75484,45032,38915,9694,0,61289,98875,67030,57011,40098,62854,0,30953,109062,40736,80223,39624,65371,0,0,0,0,144633,0,40698,50038,62657.1025641026,"111.08109","M0","M+H+","M0,M+H+","kp21_110.0738",110.07378853323
"810",128.10759,5.865,143271,113057,232848,414,0,169979,70418,299073,0,120803,7288,168292,0,217775,149955,1051,0,918,0,727,0,315,0,1275,345,2523,0,500,0,0,0,0,0,0,0,0,219941,344635,141769,46839,57190,0,274,951,527818,358084,153584,55102,139842,0,131645,553058,1060176,208695,8373,20682,48,1503603,777906,800404,22222,13175,67306,0,426117,1475366,418646,19373,138061,75766,0,0,0,0,1339,0,0,0,147036.115384615,"128.10759","M0","NH3","M0,NH3","kp21_110.0738",110.07378853323
"813",128.12608,15.847,0,293,0,0,3332,0,588,329,9,0,0,287,311,0,0,0,1567,0,425,0,927,0,2542,0,0,0,360,203,315,0,0,10245,21707,1516,3213,4409,0,0,0,0,328,4783,0,0,0,0,0,0,0,4676,0,0,0,0,0,0,2949,0,0,0,0,0,0,4494,0,0,0,0,0,0,4161,4565,6074,5223,2502,434,0,0,1189.32051282051,"128.12607","M0","M+H+","M0,M+H+","kp22_110.0921",110.09209853323
"338",111.09922,15.846,0,0,0,0,11793,0,0,0,0,0,0,0,0,0,0,0,63544,0,15047,0,8744,0,11943,0,0,0,0,0,14903,501,1380,26800,26386,19424,18358,19493,76,2416,39,910,917,17663,775,522,317,2057,2866,2045,2265,16014,455,2922,115,0,1876,609,26500,0,173,1371,1235,1363,2532,19845,0,2508,84,751,142,0,16737,20109,23617,17389,0,11662,156,4236,5686.98717948718,"111.09922","M0","NH3","M0,NH3","kp22_110.0921",110.09209853323
"1507",152.12701,0.755,0,0,0,0,3439,0,0,0,0,0,0,0,0,0,0,0,6344,0,3611,0,3971,0,4017,0,0,0,0,0,2492,0,324,4006,3586,2809,4506,3506,0,0,0,0,972,14212,0,0,564,0,0,0,0,0,619,0,0,0,315,0,4867,320,464,344,0,0,0,11098,0,0,0,0,678,0,20811,20553,8349,2560,0,2815,0,0,1694.25641025641,"152.12701","M0","M+H+","M0,M+H+","kp23_112.4178",112.417807309337
"1000",135.10109,0.753,0,0,0,0,4877,0,0,873,0,0,0,1123,0,0,0,0,100448,0,3220,571,1058,0,1343,1861,0,0,0,0,3300,0,0,6180,5729,6168,7381,5970,0,1033,0,464,428,6015,0,0,0,0,309,0,451,0,0,1473,2506,0,0,0,8269,2340,882,0,0,0,364,6971,621,2451,0,449,0,540,7276,6364,6276,5786,0,2250,0,0,2738.71794871795,"135.10109","M0","NH3","M0,NH3","kp23_112.4178",112.417807309337
